date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:04	80282/80282	---M--	200	added ('OK')	text/html	etag:%221b3fa28a1cd3ccc44a1d8b896a0ef0bb%22	http://tm.devitems.com/tmart/index-4.html	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/index-4.html	(from )
20:02:06	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2028%20Oct%202019%2001:02:03%20GMT	http://tm.devitems.com/robots.txt		(from )
20:02:06	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%229c9a750812bab056b475fb9cc078f51e%22	http://tm.devitems.com/tmart/images/favicon.ico	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/images/favicon.ico	(from http://tm.devitems.com/tmart/index-4.html)
20:02:07	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2028%20Oct%202019%2001:02:06%20GMT	http://tm.devitems.com/tmart/apple-touch-icon.png	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/apple-touch-icon.png	(from http://tm.devitems.com/tmart/index-4.html)
20:02:07	122231/122231	---M--	200	added ('OK')	text/css	etag:%22bd4cb3ac924f9ef43fecad9ef6eabc76%22	http://tm.devitems.com/tmart/css/bootstrap.min.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/bootstrap.min.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:09	2936/2936	---M--	200	added ('OK')	text/css	etag:%22de0dfbabe627afa1b718d848b6b58e97%22	http://tm.devitems.com/tmart/css/owl.carousel.min.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/owl.carousel.min.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:09	936/936	---M--	200	added ('OK')	text/css	etag:%22275048a23c69c24c6bd3316d9a45882e%22	http://tm.devitems.com/tmart/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/owl.theme.default.min.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:09	1056/1056	---M--	200	added ('OK')	text/css	etag:%2270edb3d1aaeeb2f46647eb54ffd8f137%22	http://tm.devitems.com/tmart/css/core.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/core.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:09	617/617	---M--	200	added ('OK')	text/css	etag:%22b0b357c9b7518f2f983deaf0be9e7a03%22	http://tm.devitems.com/tmart/css/shortcode/shortcodes.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/shortcode/shortcodes.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:12	90585/90585	---M--	200	added ('OK')	text/css	etag:%223ee8d95885066288f4f4c3b56e7d69ed%22	http://tm.devitems.com/tmart/style.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/style.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:12	33833/33833	---M--	200	added ('OK')	text/css	etag:%22806438fa167fd398389dc104a0e9330b%22	http://tm.devitems.com/tmart/css/responsive.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/responsive.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:13	649/649	---M--	200	added ('OK')	text/css	etag:%22b73a5ba0bb26a072da0976133db04302%22	http://tm.devitems.com/tmart/css/custom.css	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/css/custom.css	(from http://tm.devitems.com/tmart/index-4.html)
20:02:15	15514/15514	---M--	200	added ('OK')	application/javascript	etag:%22da941a6e1e1df098744318f6d25ba13a%22	http://tm.devitems.com/tmart/js/vendor/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/js/vendor/modernizr-2.8.3.min.js	(from http://tm.devitems.com/tmart/index-4.html)
20:02:15	221223/221223	---M--	200	added ('OK')	text/html	etag:%22b4f53205228e98675700a1f629a79928%22	http://tm.devitems.com/tmart/index.html	C:/My%20Web%20Sites/Minimalist/tm.devitems.com/tmart/index.html	(from http://tm.devitems.com/tmart/index-4.html)
